ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
25221,318.52930842360524,2.20590223892707,17.025169636321227,1.6015828034455903,5.351128101348877,no,no,no,no,no,unknown,no,no
344,40.670124954946644,-0.01257178381647949,0.6394324287537192,0.010119476605982542,1927.271240234375,no,yes,yes,no,no,unknown,no,yes
376,322.3006959295631,-15.644776562260894,0.333392163539813,0.0055104546084407445,1011.3452758789062,yes,yes,no,no,yes,unknown,yes,no
846,80.74157868757885,-36.45859454581742,0.3062511114359064,0.008940813346498789,1446.4217529296875,yes,yes,no,no,no,unknown,yes,no
1613,68.53993630134782,5.423272452955034,14.830272499931304,1.8531581540808597,6.957783222198486,no,no,no,no,no,unknown,no,no
2131,61.951808304948415,-12.193524813514525,0.297185352331151,0.007384689024214424,2218.133056640625,yes,yes,no,no,no,unknown,yes,no
3012,76.84296914566123,-37.43970238142919,6.456294304930533,0.2760432611783482,26.63097381591797,yes,no,no,no,no,unknown,yes,no
4369,79.88871337632537,-45.94544906397191,10.730768993130136,1.1772464203701387,4.673569679260254,no,no,no,no,no,unknown,no,no
3097,24.422118236467814,33.159669602362634,0.5735045181348261,0.009153108434459082,1812.88232421875,yes,no,no,no,yes,unknown,yes,no
4062,76.68676789302609,-31.886595538735484,6.244796397481979,0.1114348861393424,114.190185546875,yes,no,no,no,no,unknown,yes,no
4843,343.4906028314968,16.148214018895125,0.5485169400194083,0.005330311508449958,3973.1318359375,yes,yes,yes,no,yes,unknown,yes,no
5693,68.29621690787219,5.3543576795310415,0.6382002104870412,0.0050278626983854295,4527.27392578125,yes,yes,no,no,no,unknown,no,yes
6802,20.709401806688707,0.7119508191929821,12.63356031978771,0.11260395221749406,521.0365600585938,yes,no,no,no,yes,unknown,no,no
9284,329.5262531375177,-15.019297571332084,0.10573548545696676,0.012540328721245438,1133.43408203125,yes,yes,yes,no,no,unknown,yes,no
10290,259.2482475072071,-62.82058902175245,0.08147268408004973,0.014703730850772631,870.0797729492188,no,yes,yes,no,no,unknown,yes,yes
11683,45.01796255245138,-10.824623868905165,3.4952187324727526,0.021096115799643888,933.34423828125,yes,no,yes,no,no,unknown,yes,yes
12868,31.566585260564118,-0.2914981577632147,0.0839346708421501,0.005256797010893128,4129.8134765625,yes,yes,yes,no,no,unknown,no,yes
13373,329.559571636735,-15.099850739450517,5.398405645855683,0.495053512732509,11.623434066772461,yes,no,no,no,no,unknown,yes,no
13900,18.458601815748302,-14.845691677944005,0.2825332142186961,0.0062653102383031,3623.405517578125,yes,no,no,no,no,unknown,no,no
14219,58.44580917910741,-10.421885819117216,0.3049441417717207,0.11782442984225512,12.77627944946289,yes,yes,yes,no,no,unknown,yes,no
17464,66.50291842460163,-57.200624066323904,0.21062889397367385,0.006128569002879112,3383.822265625,yes,yes,yes,no,no,unknown,yes,no
18843,66.50305588599285,-57.20053650226132,0.3104366160874384,0.01047341698917351,2034.814697265625,yes,yes,yes,no,no,unknown,yes,no
17687,15.9063731326512,-72.02591436300196,2.8711667268713925,0.020785109228400798,586.4163818359375,yes,yes,yes,no,no,unknown,no,yes
4005,63.418140343419786,11.204073043083408,0.5666276289105441,0.004301442500140307,3108.610107421875,yes,yes,no,no,no,unknown,yes,no
13893,301.74128753224454,-34.548476282873025,0.211574300361904,0.008987782629939703,1450.4029541015625,yes,yes,no,no,no,unknown,no,yes
18188,37.52288787419615,-8.998057072747214,0.09248275547853299,0.0056912189752642214,4347.5322265625,yes,yes,no,no,no,unknown,yes,no
18684,37.522893659829684,-8.998099255976687,0.0957542767658863,0.006085496036093793,4117.89892578125,yes,yes,no,no,no,unknown,yes,no
19692,98.94388109308902,-75.2713579887442,0.10316419531839947,0.007754567703011975,2708.971435546875,yes,yes,yes,no,yes,unknown,yes,no
20864,98.94370450184394,-75.27143891279138,0.10749929584671226,0.007284571353287769,2448.6875,yes,yes,yes,no,unknown,unknown,yes,no
20867,98.94361324457039,-75.27141771637531,0.10579504435310239,0.007436995701515766,2319.48583984375,yes,yes,yes,no,yes,unknown,yes,no
20442,237.5386582627013,-78.14798824192255,2.900147763368062,0.10972631705649052,22.684358596801758,yes,no,no,no,no,unknown,no,no
21488,36.26178308450254,-23.213372733232063,0.14075439937644052,0.012834651698859192,1435.155517578125,yes,yes,no,no,no,unknown,unknown,unknown
16529,6.017461339553287,-72.08287069376833,0.35763310724449626,0.02590825366384214,197.23089599609375,no,no,yes,no,no,unknown,no,no
3969,100.5514205337882,-74.23611453594619,3.807956972169217,0.1093436008205969,38.933902740478516,yes,unknown,no,no,no,unknown,yes,no
25377,319.09801135753315,-34.10520255890338,10.732207211719786,1.5195749151461553,3.3227243423461914,no,no,no,no,no,unknown,no,no
26040,305.4007388433587,-62.317059445462334,7.597551883755255,0.6653145420340836,10.548565864562988,yes,no,no,no,no,unknown,yes,no
26118,351.4759599181371,21.887138916306615,0.1512227655954235,0.012294546668873156,1623.2506103515625,yes,yes,no,no,no,unknown,no,no
26135,7.307175121451819,13.267818363097739,0.15484684721481826,0.013171216542056392,1070.7313232421875,yes,unknown,no,no,no,unknown,unknown,unknown
28373,332.92388043812554,8.338960188497746,5.198754226604617,0.5482233045636657,9.327232360839844,yes,no,no,no,no,unknown,yes,no
27324,343.49055508990205,16.148067704839725,0.19449349694990353,0.006556445906197507,3646.99169921875,yes,yes,no,no,no,unknown,no,no
27821,314.28363622279346,22.471997524614274,2.9354333986519494,0.19579521274353534,13.968887329101562,yes,no,no,no,no,unknown,no,no
27970,297.30225145615435,-10.610219281987968,2.537121563310453,0.17326745041978597,15.941699981689453,yes,no,no,no,no,unknown,yes,no
30627,47.40230187711185,27.319481292734228,2.7767337707532618,0.21783566487715586,15.239946365356445,yes,no,no,no,no,unknown,no,no
30834,39.993032661873336,-1.7051368083011726,7.154925811559088,0.747275297093929,8.285727500915527,yes,yes,yes,no,no,unknown,yes,no
28929,79.0476069594198,-0.14988250690352922,5.176902600753245,0.022779559062414356,1768.357177734375,yes,yes,no,no,no,unknown,yes,no
1104,47.98018443581878,-76.86416934454857,2.334058770450352,0.009356033100456088,1706.1253662109375,yes,unknown,no,no,no,unknown,unknown,unknown
62554,99.24317144950143,-75.45072895267641,12.835197085924465,1.177075830941906,10.556010246276855,yes,no,no,no,no,unknown,yes,no
1513,49.87340246014706,41.64219932894387,10.954953405234372,0.498742050734492,5.252189636230469,no,unknown,no,no,no,unknown,unknown,unknown
513,303.7890414762505,-56.88530859324372,19.076893210157582,0.47192972348134643,13.039402961730957,no,unknown,no,no,no,unknown,unknown,unknown
905,330.5078865093709,-31.8696690763449,6.092562260549346,0.014895627003242175,2626.529052734375,no,yes,no,no,no,unknown,no,yes
1667,314.10319263711216,-4.593139070356289,5.451529563983341,0.37746135872854547,9.83523941040039,no,no,yes,no,no,unknown,no,no
3181,36.123258335990805,-0.005706095467448147,3.6035444488935817,0.17325107791914768,10.06601333618164,yes,no,yes,no,yes,unknown,yes,no
3184,104.37584523057423,-55.98378814103473,6.505049239541274,0.3216510903241149,15.787300109863281,yes,no,no,no,no,unknown,no,no
3191,302.4355207837149,-48.24571798179027,6.4008233547226565,0.42567333915451777,8.628724098205566,yes,no,no,no,no,unknown,yes,no
4180,14.11320504287511,-1.3561003231995228,7.189203384796945,0.3352844082301248,24.182003021240234,yes,yes,yes,no,no,unknown,yes,no
